timestamp,contract_code,contract_name,interval_min,close,open,high,low,volume,open_interest,open_interest_change
2026-09-04 12:25:00,A016C000,F 202612,10,1049.05,1049.8,1050.75,1049.05,8.0,11559.0,25.0
2026-09-04 12:35:00,A016C000,F 202612,10,1050.85,1049.2,1051.15,1049.2,8.0,11578.0,19.0
2026-09-04 12:45:00,A016C000,F 202612,10,1051.2,1050.25,1051.2,1050.25,9.0,11604.0,26.0
2026-09-04 12:55:00,A016C000,F 202612,10,1052.1,1050.95,1052.3,1050.9,19.0,11634.0,30.0
2026-09-04 13:05:00,A016C000,F 202612,10,1056.15,1053.05,1056.15,1053.0,18.0,11672.0,38.0
2026-09-04 13:15:00,A016C000,F 202612,10,1055.65,1056.4,1056.4,1054.65,30.0,11715.0,43.0
2026-09-04 13:25:00,A016C000,F 202612,10,1057.45,1055.65,1058.85,1055.65,23.0,11879.0,164.0
2026-09-04 13:35:00,A016C000,F 202612,10,1057.5,1057.3,1057.5,1055.75,544.0,11913.0,34.0
2026-09-04 13:45:00,A016C000,F 202612,10,1057.25,1057.35,1057.4,1056.35,15.0,12017.0,104.0
2026-09-04 13:55:00,A016C000,F 202612,10,1058.25,1056.85,1058.25,1056.85,16.0,12040.0,23.0
2026-09-04 14:05:00,A016C000,F 202612,10,1061.2,1058.85,1061.2,1058.85,38.0,12127.0,87.0
2026-09-04 14:15:00,A016C000,F 202612,10,1062.95,1060.55,1064.45,1060.55,26.0,12158.0,31.0
2026-09-04 14:25:00,A016C000,F 202612,10,1062.95,1062.6,1063.45,1061.2,19.0,12279.0,121.0
2026-09-04 14:35:00,A016C000,F 202612,10,1060.15,1062.45,1062.45,1059.5,23.0,12337.0,58.0
2026-09-04 14:45:00,A016C000,F 202612,10,1057.5,1059.85,1060.4,1056.85,60.0,12329.0,-8.0
2026-09-04 14:55:00,A016C000,F 202612,10,1056.25,1056.35,1058.6,1055.5,40.0,12333.0,4.0
2026-09-04 15:05:00,A016C000,F 202612,10,1055.75,1055.5,1056.2,1054.0,87.0,12395.0,62.0
2026-09-04 15:15:00,A016C000,F 202612,10,1054.95,1055.2,1055.2,1050.6,41.0,12564.0,169.0
2026-09-04 15:25:00,A016C000,F 202612,10,1054.55,1055.2,1055.2,1053.95,40.0,12587.0,23.0
2026-09-04 15:45:00,A016C000,F 202612,10,1058.95,1058.95,1058.95,1058.95,20.0,12637.0,50.0
2026-09-07 08:45:00,A016C000,F 202612,10,1090.65,1090.0,1093.45,1088.85,41.0,12902.0,265.0
2026-09-07 08:55:00,A016C000,F 202612,10,1090.9,1091.3,1094.65,1089.75,77.0,13460.0,558.0
2026-09-07 09:05:00,A016C000,F 202612,10,1094.15,1090.75,1096.65,1090.75,65.0,14120.0,660.0
2026-09-07 09:15:00,A016C000,F 202612,10,1091.55,1094.0,1095.25,1091.05,85.0,15040.0,920.0
2026-09-07 09:25:00,A016C000,F 202612,10,1092.25,1091.2,1094.55,1091.2,56.0,16012.0,972.0
2026-09-07 09:35:00,A016C000,F 202612,10,1090.45,1091.7,1092.65,1089.45,75.0,16502.0,490.0
2026-09-07 09:45:00,A016C000,F 202612,10,1090.6,1090.6,1091.4,1087.45,67.0,16836.0,334.0
2026-09-07 09:55:00,A016C000,F 202612,10,1086.45,1090.3,1091.8,1086.0,57.0,17174.0,338.0
2026-09-07 10:05:00,A016C000,F 202612,10,1089.55,1087.25,1089.55,1086.2,20.0,17386.0,212.0
2026-09-07 10:15:00,A016C000,F 202612,10,1089.9,1089.5,1090.25,1088.5,18.0,17784.0,398.0
2026-09-07 10:25:00,A016C000,F 202612,10,1088.75,1090.3,1091.3,1087.6,54.0,18174.0,390.0
2026-09-07 10:35:00,A016C000,F 202612,10,1087.7,1088.2,1090.1,1087.7,89.0,18587.0,413.0
2026-09-07 10:45:00,A016C000,F 202612,10,1088.5,1089.35,1090.5,1088.5,34.0,19357.0,770.0
2026-09-07 10:55:00,A016C000,F 202612,10,1088.2,1088.9,1090.0,1087.85,37.0,19900.0,543.0
2026-09-07 11:05:00,A016C000,F 202612,10,1088.7,1088.2,1088.95,1087.7,18.0,21209.0,1309.0
2026-09-07 11:15:00,A016C000,F 202612,10,1088.6,1089.95,1089.95,1088.6,20.0,21921.0,712.0
2026-09-07 11:25:00,A016C000,F 202612,10,1090.3,1088.35,1091.35,1088.35,25.0,22666.0,745.0
2026-09-07 11:35:00,A016C000,F 202612,10,1090.2,1090.1,1090.45,1089.15,26.0,23055.0,389.0
2026-09-07 11:45:00,A016C000,F 202612,10,1090.7,1090.8,1091.5,1090.25,41.0,23497.0,442.0
2026-09-07 11:55:00,A016C000,F 202612,10,1091.4,1090.25,1091.4,1089.05,59.0,23792.0,295.0
2026-09-07 12:05:00,A016C000,F 202612,10,1091.3,1090.9,1091.55,1090.1,61.0,24368.0,576.0
2026-09-07 12:15:00,A016C000,F 202612,10,1094.25,1091.6,1094.6,1090.75,78.0,24706.0,338.0
2026-09-07 12:25:00,A016C000,F 202612,10,1094.85,1094.15,1095.0,1093.1,69.0,25330.0,624.0
2026-09-07 12:35:00,A016C000,F 202612,10,1092.7,1094.1,1094.1,1092.4,51.0,25714.0,384.0
2026-09-07 12:45:00,A016C000,F 202612,10,1094.65,1093.2,1094.75,1093.2,47.0,26186.0,472.0
2026-09-07 12:55:00,A016C000,F 202612,10,1096.3,1094.45,1096.3,1093.7,72.0,26878.0,692.0
2026-09-07 13:05:00,A016C000,F 202612,10,1098.8,1095.65,1099.05,1095.65,142.0,27106.0,228.0
2026-09-07 13:15:00,A016C000,F 202612,10,1099.0,1099.5,1100.8,1098.75,151.0,27660.0,554.0
2026-09-07 13:25:00,A016C000,F 202612,10,1101.45,1099.3,1104.95,1099.15,272.0,27931.0,271.0
2026-09-07 13:35:00,A016C000,F 202612,10,1101.35,1101.65,1103.0,1099.9,136.0,28327.0,396.0
2026-09-07 13:45:00,A016C000,F 202612,10,1103.55,1101.2,1103.95,1100.85,143.0,28719.0,392.0
2026-09-07 13:55:00,A016C000,F 202612,10,1102.35,1103.4,1104.15,1101.75,82.0,30351.0,1632.0
2026-09-07 14:05:00,A016C000,F 202612,10,1101.25,1102.3,1102.4,1100.0,128.0,31545.0,1194.0
2026-09-07 14:15:00,A016C000,F 202612,10,1103.4,1101.05,1103.4,1100.0,122.0,32848.0,1303.0
2026-09-07 14:25:00,A016C000,F 202612,10,1104.85,1103.9,1106.4,1103.8,136.0,33728.0,880.0
2026-09-07 14:35:00,A016C000,F 202612,10,1105.0,1104.85,1105.6,1103.75,47.0,33930.0,202.0
2026-09-07 14:45:00,A016C000,F 202612,10,1103.8,1105.1,1105.15,1102.7,69.0,34947.0,1017.0
2026-09-07 14:55:00,A016C000,F 202612,10,1105.3,1103.85,1105.8,1103.35,299.0,35510.0,563.0
2026-09-07 15:05:00,A016C000,F 202612,10,1105.95,1105.95,1106.3,1104.95,184.0,36150.0,640.0
2026-09-07 15:15:00,A016C000,F 202612,10,1106.45,1105.75,1106.65,1104.4,208.0,36458.0,308.0
2026-09-07 15:25:00,A016C000,F 202612,10,1108.45,1106.25,1110.0,1105.4,292.0,36806.0,348.0
2026-09-07 15:45:00,A016C000,F 202612,10,1111.0,1111.0,1111.0,1111.0,112.0,37352.0,546.0
2026-09-08 08:45:00,A016C000,F 202612,10,1120.9,1113.0,1123.4,1113.0,451.0,39066.0,1714.0
2026-09-08 08:55:00,A016C000,F 202612,10,1111.9,1120.9,1120.9,1111.0,390.0,40032.0,966.0
2026-09-08 09:05:00,A016C000,F 202612,10,1117.35,1112.15,1117.65,1111.8,284.0,42368.0,2336.0
